pair_id,scope_type,context,target
10,Distributive (Multiple),"A group of dogs went to the yard. Each dog found a different enormous bone they liked. Therefore, ",every dog chewed a bone.
10,Cumulative (Single),"A group of dogs went to the yard. There was only one enormous bone in the center. Therefore, ",every dog chewed a bone.
11,Distributive (Multiple),"A group of students went to the library. Each student found a different massive book they liked. Therefore, ",every student read a book.
11,Cumulative (Single),"A group of students went to the library. There was only one massive book in the center. Therefore, ",every student read a book.
12,Distributive (Multiple),"A group of students went to the library. Each student found a different huge book they liked. Therefore, ",every student read a book.
12,Cumulative (Single),"A group of students went to the library. There was only one huge book in the center. Therefore, ",every student read a book.
13,Distributive (Multiple),"A group of students went to the library. Each student found a different gigantic book they liked. Therefore, ",every student read a book.
13,Cumulative (Single),"A group of students went to the library. There was only one gigantic book in the center. Therefore, ",every student read a book.
14,Distributive (Multiple),"A group of students went to the library. Each student found a different large book they liked. Therefore, ",every student read a book.
14,Cumulative (Single),"A group of students went to the library. There was only one large book in the center. Therefore, ",every student read a book.
15,Distributive (Multiple),"A group of students went to the library. Each student found a different enormous book they liked. Therefore, ",every student read a book.
15,Cumulative (Single),"A group of students went to the library. There was only one enormous book in the center. Therefore, ",every student read a book.
16,Distributive (Multiple),"A group of cats went to the house. Each cat found a different massive mouse they liked. Therefore, ",every cat chased a mouse.
16,Cumulative (Single),"A group of cats went to the house. There was only one massive mouse in the center. Therefore, ",every cat chased a mouse.
17,Distributive (Multiple),"A group of cats went to the house. Each cat found a different huge mouse they liked. Therefore, ",every cat chased a mouse.
17,Cumulative (Single),"A group of cats went to the house. There was only one huge mouse in the center. Therefore, ",every cat chased a mouse.
18,Distributive (Multiple),"A group of cats went to the house. Each cat found a different gigantic mouse they liked. Therefore, ",every cat chased a mouse.
18,Cumulative (Single),"A group of cats went to the house. There was only one gigantic mouse in the center. Therefore, ",every cat chased a mouse.
19,Distributive (Multiple),"A group of cats went to the house. Each cat found a different large mouse they liked. Therefore, ",every cat chased a mouse.
19,Cumulative (Single),"A group of cats went to the house. There was only one large mouse in the center. Therefore, ",every cat chased a mouse.
20,Distributive (Multiple),"A group of cats went to the house. Each cat found a different enormous mouse they liked. Therefore, ",every cat chased a mouse.
20,Cumulative (Single),"A group of cats went to the house. There was only one enormous mouse in the center. Therefore, ",every cat chased a mouse.
21,Distributive (Multiple),"A group of workers went to the office. Each worker found a different massive desk they liked. Therefore, ",every worker cleaned a desk.
21,Cumulative (Single),"A group of workers went to the office. There was only one massive desk in the center. Therefore, ",every worker cleaned a desk.
22,Distributive (Multiple),"A group of workers went to the office. Each worker found a different huge desk they liked. Therefore, ",every worker cleaned a desk.
22,Cumulative (Single),"A group of workers went to the office. There was only one huge desk in the center. Therefore, ",every worker cleaned a desk.
23,Distributive (Multiple),"A group of workers went to the office. Each worker found a different gigantic desk they liked. Therefore, ",every worker cleaned a desk.
23,Cumulative (Single),"A group of workers went to the office. There was only one gigantic desk in the center. Therefore, ",every worker cleaned a desk.
24,Distributive (Multiple),"A group of workers went to the office. Each worker found a different large desk they liked. Therefore, ",every worker cleaned a desk.
24,Cumulative (Single),"A group of workers went to the office. There was only one large desk in the center. Therefore, ",every worker cleaned a desk.
25,Distributive (Multiple),"A group of workers went to the office. Each worker found a different enormous desk they liked. Therefore, ",every worker cleaned a desk.
25,Cumulative (Single),"A group of workers went to the office. There was only one enormous desk in the center. Therefore, ",every worker cleaned a desk.
26,Distributive (Multiple),"A group of birds went to the forest. Each bird found a different massive branch they liked. Therefore, ",every bird landed on a branch.
26,Cumulative (Single),"A group of birds went to the forest. There was only one massive branch in the center. Therefore, ",every bird landed on a branch.
27,Distributive (Multiple),"A group of birds went to the forest. Each bird found a different huge branch they liked. Therefore, ",every bird landed on a branch.
27,Cumulative (Single),"A group of birds went to the forest. There was only one huge branch in the center. Therefore, ",every bird landed on a branch.
28,Distributive (Multiple),"A group of birds went to the forest. Each bird found a different gigantic branch they liked. Therefore, ",every bird landed on a branch.
28,Cumulative (Single),"A group of birds went to the forest. There was only one gigantic branch in the center. Therefore, ",every bird landed on a branch.
29,Distributive (Multiple),"A group of birds went to the forest. Each bird found a different large branch they liked. Therefore, ",every bird landed on a branch.
29,Cumulative (Single),"A group of birds went to the forest. There was only one large branch in the center. Therefore, ",every bird landed on a branch.
30,Distributive (Multiple),"A group of birds went to the forest. Each bird found a different enormous branch they liked. Therefore, ",every bird landed on a branch.
30,Cumulative (Single),"A group of birds went to the forest. There was only one enormous branch in the center. Therefore, ",every bird landed on a branch.
31,Distributive (Multiple),"A group of tourists went to the museum. Each tourist found a different massive statue they liked. Therefore, ",every tourist photographed a statue.
31,Cumulative (Single),"A group of tourists went to the museum. There was only one massive statue in the center. Therefore, ",every tourist photographed a statue.
32,Distributive (Multiple),"A group of tourists went to the museum. Each tourist found a different huge statue they liked. Therefore, ",every tourist photographed a statue.
32,Cumulative (Single),"A group of tourists went to the museum. There was only one huge statue in the center. Therefore, ",every tourist photographed a statue.
33,Distributive (Multiple),"A group of tourists went to the museum. Each tourist found a different gigantic statue they liked. Therefore, ",every tourist photographed a statue.
33,Cumulative (Single),"A group of tourists went to the museum. There was only one gigantic statue in the center. Therefore, ",every tourist photographed a statue.
34,Distributive (Multiple),"A group of tourists went to the museum. Each tourist found a different large statue they liked. Therefore, ",every tourist photographed a statue.
34,Cumulative (Single),"A group of tourists went to the museum. There was only one large statue in the center. Therefore, ",every tourist photographed a statue.
35,Distributive (Multiple),"A group of tourists went to the museum. Each tourist found a different enormous statue they liked. Therefore, ",every tourist photographed a statue.
35,Cumulative (Single),"A group of tourists went to the museum. There was only one enormous statue in the center. Therefore, ",every tourist photographed a statue.
36,Distributive (Multiple),"A group of chefs went to the kitchen. Each chef found a different massive pan they liked. Therefore, ",every chef washed a pan.
36,Cumulative (Single),"A group of chefs went to the kitchen. There was only one massive pan in the center. Therefore, ",every chef washed a pan.
37,Distributive (Multiple),"A group of chefs went to the kitchen. Each chef found a different huge pan they liked. Therefore, ",every chef washed a pan.
37,Cumulative (Single),"A group of chefs went to the kitchen. There was only one huge pan in the center. Therefore, ",every chef washed a pan.
38,Distributive (Multiple),"A group of chefs went to the kitchen. Each chef found a different gigantic pan they liked. Therefore, ",every chef washed a pan.
38,Cumulative (Single),"A group of chefs went to the kitchen. There was only one gigantic pan in the center. Therefore, ",every chef washed a pan.
39,Distributive (Multiple),"A group of chefs went to the kitchen. Each chef found a different large pan they liked. Therefore, ",every chef washed a pan.
39,Cumulative (Single),"A group of chefs went to the kitchen. There was only one large pan in the center. Therefore, ",every chef washed a pan.
40,Distributive (Multiple),"A group of chefs went to the kitchen. Each chef found a different enormous pan they liked. Therefore, ",every chef washed a pan.
40,Cumulative (Single),"A group of chefs went to the kitchen. There was only one enormous pan in the center. Therefore, ",every chef washed a pan.
41,Distributive (Multiple),"A group of monkeys went to the jungle. Each monkey found a different massive banana they liked. Therefore, ",every monkey ate a banana.
41,Cumulative (Single),"A group of monkeys went to the jungle. There was only one massive banana in the center. Therefore, ",every monkey ate a banana.
42,Distributive (Multiple),"A group of monkeys went to the jungle. Each monkey found a different huge banana they liked. Therefore, ",every monkey ate a banana.
42,Cumulative (Single),"A group of monkeys went to the jungle. There was only one huge banana in the center. Therefore, ",every monkey ate a banana.
43,Distributive (Multiple),"A group of monkeys went to the jungle. Each monkey found a different gigantic banana they liked. Therefore, ",every monkey ate a banana.
43,Cumulative (Single),"A group of monkeys went to the jungle. There was only one gigantic banana in the center. Therefore, ",every monkey ate a banana.
44,Distributive (Multiple),"A group of monkeys went to the jungle. Each monkey found a different large banana they liked. Therefore, ",every monkey ate a banana.
44,Cumulative (Single),"A group of monkeys went to the jungle. There was only one large banana in the center. Therefore, ",every monkey ate a banana.
45,Distributive (Multiple),"A group of monkeys went to the jungle. Each monkey found a different enormous banana they liked. Therefore, ",every monkey ate a banana.
45,Cumulative (Single),"A group of monkeys went to the jungle. There was only one enormous banana in the center. Therefore, ",every monkey ate a banana.
46,Distributive (Multiple),"A group of artists went to the studio. Each artist found a different massive canvas they liked. Therefore, ",every artist painted a canvas.
46,Cumulative (Single),"A group of artists went to the studio. There was only one massive canvas in the center. Therefore, ",every artist painted a canvas.
47,Distributive (Multiple),"A group of artists went to the studio. Each artist found a different huge canvas they liked. Therefore, ",every artist painted a canvas.
47,Cumulative (Single),"A group of artists went to the studio. There was only one huge canvas in the center. Therefore, ",every artist painted a canvas.
48,Distributive (Multiple),"A group of artists went to the studio. Each artist found a different gigantic canvas they liked. Therefore, ",every artist painted a canvas.
48,Cumulative (Single),"A group of artists went to the studio. There was only one gigantic canvas in the center. Therefore, ",every artist painted a canvas.
49,Distributive (Multiple),"A group of artists went to the studio. Each artist found a different large canvas they liked. Therefore, ",every artist painted a canvas.
49,Cumulative (Single),"A group of artists went to the studio. There was only one large canvas in the center. Therefore, ",every artist painted a canvas.
50,Distributive (Multiple),"A group of artists went to the studio. Each artist found a different enormous canvas they liked. Therefore, ",every artist painted a canvas.
50,Cumulative (Single),"A group of artists went to the studio. There was only one enormous canvas in the center. Therefore, ",every artist painted a canvas.
