id,premises,conclusion,label,caroline_premises,caroline_conclusion,domain_shift_premises,domain_shift_conclusion,ans_orig_zero,ans_caroline_zero,ans_domain_zero,ans_caroline_cot
10,"There are six types of wild turkeys: Eastern wild turkey, Osceola wild turkey, Gould’s wild turkey, Merriam’s wild turkey, Rio Grande wild turkey, and Ocellated wild turkey. Tom is not an Eastern wild turkey. Tom is not an Osceola wild turkey. Tom is also not a Gould's wild turkey, or a Merriam's wild turkey, or a Rio Grande wild turkey. Tom is a wild turkey.",Tom is an Eastern wild turkey.,False,"There are six types of wild turkeys: Snark wild turkey, Jubjub wild turkey, Jabberwock’s wild turkey, Gyre wild turkey, Bandersnatch wild turkey, and Tumtum wild turkey. Tweequ is not an Snark wild turkey. Tweequ is not an Jubjub wild turkey. Tweequ is also not a Jabberwock's wild turkey, or a Vorpal's wild turkey, or a Bandersnatch wild turkey. Tweequ is a wild turkey.",Tweequ is an Snark wild turkey.,"There are six types of wild turkeys: Ribosome wild turkey, Photon wild turkey, Enzyme’s wild turkey, Quark wild turkey, Electron wild turkey, and Chromosome wild turkey. Mitochondria is not an Ribosome wild turkey. Mitochondria is not an Photon wild turkey. Mitochondria is also not a Enzyme's wild turkey, or a Nebula's wild turkey, or a Electron wild turkey. Mitochondria is a wild turkey.",Mitochondria is an Ribosome wild turkey.,False,False,False,True
11,"There are six types of wild turkeys: Eastern wild turkey, Osceola wild turkey, Gould’s wild turkey, Merriam’s wild turkey, Rio Grande wild turkey, and Ocellated wild turkey. Tom is not an Eastern wild turkey. Tom is not an Osceola wild turkey. Tom is also not a Gould's wild turkey, or a Merriam's wild turkey, or a Rio Grande wild turkey. Tom is a wild turkey.",Joey is a wild turkey.,Uncertain,"There are six types of wild turkeys: Rath wild turkey, Bandersnatch wild turkey, Gyre’s wild turkey, Tweequ wild turkey, Boroogove wild turkey, and Jabberwock wild turkey. Mome is not an Rath wild turkey. Mome is not an Bandersnatch wild turkey. Mome is also not a Gyre's wild turkey, or a Snark's wild turkey, or a Boroogove wild turkey. Mome is a wild turkey.",Vorpal is a wild turkey.,"There are six types of wild turkeys: Electron wild turkey, Ribosome wild turkey, Mitochondria’s wild turkey, Photon wild turkey, Neutron wild turkey, and Enzyme wild turkey. Quark is not an Electron wild turkey. Quark is not an Ribosome wild turkey. Quark is also not a Mitochondria's wild turkey, or a Chromosome's wild turkey, or a Neutron wild turkey. Quark is a wild turkey.",Proton is a wild turkey.,Uncertain,Uncertain,Uncertain,True
12,"A Japanese game company created the game the Legend of Zelda. All games in the Top 10 list are made by Japanese game companies. [BG] If a game sells more than one million copies, then it will be selected into the Top 10 list. The Legend of Zelda sold more than one million copies.",The Legend of Zelda is in the Top 10 list.,True,"A Japanese game company created the game the Legend of Zelda. All games in the Top 10 list are made by Japanese game companies. [BG] If a game sells more than one million copies, then it will be selected into the Top 10 list. The Legend of Zelda sold more than one million copies.",The Legend of Zelda is in the Top 10 list.,"A Japanese game company created the game the Legend of Zelda. All games in the Top 10 list are made by Japanese game companies. [BG] If a game sells more than one million copies, then it will be selected into the Top 10 list. The Legend of Zelda sold more than one million copies.",The Legend of Zelda is in the Top 10 list.,True,True,True,True
13,"A Japanese game company created the game the Legend of Zelda. All games in the Top 10 list are made by Japanese game companies. [BG] If a game sells more than one million copies, then it will be selected into the Top 10 list. The Legend of Zelda sold more than one million copies.",FIFA 22 is made by a Japanese video game company.,Uncertain,"A Japanese game company created the game the Legend of Zelda. All games in the Top 10 list are made by Japanese game companies. [BG] If a game sells more than one million copies, then it will be selected into the Top 10 list. The Legend of Zelda sold more than one million copies.",FIFA 22 is made by a Japanese video game company.,"A Japanese game company created the game the Legend of Zelda. All games in the Top 10 list are made by Japanese game companies. [BG] If a game sells more than one million copies, then it will be selected into the Top 10 list. The Legend of Zelda sold more than one million copies.",FIFA 22 is made by a Japanese video game company.,Uncertain,Uncertain,Uncertain,True
14,"A Japanese game company created the game the Legend of Zelda. All games in the Top 10 list are made by Japanese game companies. [BG] If a game sells more than one million copies, then it will be selected into the Top 10 list. The Legend of Zelda sold more than one million copies.",The Legend of Zelda is not in the Top 10 list.,False,"A Japanese game company created the game the Legend of Zelda. All games in the Top 10 list are made by Japanese game companies. [BG] If a game sells more than one million copies, then it will be selected into the Top 10 list. The Legend of Zelda sold more than one million copies.",The Legend of Zelda is not in the Top 10 list.,"A Japanese game company created the game the Legend of Zelda. All games in the Top 10 list are made by Japanese game companies. [BG] If a game sells more than one million copies, then it will be selected into the Top 10 list. The Legend of Zelda sold more than one million copies.",The Legend of Zelda is not in the Top 10 list.,False,False,False,True
15,All squares have four sides. All four-sided things are shapes. ,All squares are shapes.,True,All squares have four sides. All four-sided things are shapes. ,All squares are shapes.,All squares have four sides. All four-sided things are shapes. ,All squares are shapes.,True,True,True,True
16,"All rabbits are cute.  Some turtles exist.  An animal is either a rabbit or a squirrel. If something is skittish, then it is not still. All squirrels are skittish. Rock is still.",Rock is a turtle.,Uncertain,"All rabbits are cute.  Some turtles exist.  An animal is either a rabbit or a squirrel. If something is skittish, then it is not still. All squirrels are skittish. Rock is still.",Rock is a turtle.,"All rabbits are cute.  Some turtles exist.  An animal is either a rabbit or a squirrel. If something is skittish, then it is not still. All squirrels are skittish. Rock is still.",Rock is a turtle.,Uncertain,Uncertain,Uncertain,Uncertain
17,"All rabbits are cute.  Some turtles exist.  An animal is either a rabbit or a squirrel. If something is skittish, then it is not still. All squirrels are skittish. Rock is still.",Rock is not a turtle.,Uncertain,"All rabbits are cute.  Some turtles exist.  An animal is either a rabbit or a squirrel. If something is skittish, then it is not still. All squirrels are skittish. Rock is still.",Rock is not a turtle.,"All rabbits are cute.  Some turtles exist.  An animal is either a rabbit or a squirrel. If something is skittish, then it is not still. All squirrels are skittish. Rock is still.",Rock is not a turtle.,False,False,False,True
18,"All rabbits are cute.  Some turtles exist.  An animal is either a rabbit or a squirrel. If something is skittish, then it is not still. All squirrels are skittish. Rock is still.",Rock is a turtle or cute.,True,"All rabbits are cute.  Some turtles exist.  An animal is either a rabbit or a squirrel. If something is skittish, then it is not still. All squirrels are skittish. Rock is still.",Rock is a turtle or cute.,"All rabbits are cute.  Some turtles exist.  An animal is either a rabbit or a squirrel. If something is skittish, then it is not still. All squirrels are skittish. Rock is still.",Rock is a turtle or cute.,Uncertain,Uncertain,Uncertain,Uncertain
19,"All rabbits are cute.  Some turtles exist.  An animal is either a rabbit or a squirrel. If something is skittish, then it is not still. All squirrels are skittish. Rock is still.","If Rock is not both a turtle and a squirrel, then Rock is either cute or skittish.",True,"All rabbits are cute.  Some turtles exist.  An animal is either a rabbit or a squirrel. If something is skittish, then it is not still. All squirrels are skittish. Tweequ is still.","If Tweequ is not both a turtle and a squirrel, then Tweequ is either cute or skittish.","All rabbits are cute.  Some turtles exist.  An animal is either a rabbit or a squirrel. If something is skittish, then it is not still. All squirrels are skittish. Enzyme is still.","If Enzyme is not both a turtle and a squirrel, then Enzyme is either cute or skittish.",True,True,True,True
20,"All rabbits are cute.  Some turtles exist.  An animal is either a rabbit or a squirrel. If something is skittish, then it is not still. All squirrels are skittish. Rock is still.","If Rock is cute and still, then Rock is a turtle and skittish.",False,"All rabbits are cute.  Some turtles exist.  An animal is either a rabbit or a squirrel. If something is skittish, then it is not still. All squirrels are skittish. Jabberwock is still.","If Jabberwock is cute and still, then Jabberwock is a turtle and skittish.","All rabbits are cute.  Some turtles exist.  An animal is either a rabbit or a squirrel. If something is skittish, then it is not still. All squirrels are skittish. Nebula is still.","If Nebula is cute and still, then Nebula is a turtle and skittish.",Uncertain,Uncertain,Uncertain,Uncertain
21,"""Stranger Things"" is a popular Netflix show. If a Netflix show is popular, Karen will binge-watch it. If and only if Karen binge-watches a Netflix show, she will download it. Karen does not download ""Black Mirror"". ""Black Mirror"" is a Netflix show. If Karen binge-watches a Netflix show, she will share it to Lisa.","Karen will share ""Stranger Things"" to Lisa.",True,"""Stranger Things"" is a popular Jubjub show. If a Jubjub show is popular, Tumtum will binge-watch it. If and only if Tumtum binge-watches a Jubjub show, she will download it. Tumtum does not download ""Black Mirror"". ""Black Mirror"" is a Jubjub show. If Tumtum binge-watches a Jubjub show, she will share it to Rath.","Tumtum will share ""Stranger Things"" to Rath.","""Stranger Things"" is a popular Quark show. If a Quark show is popular, Chromosome will binge-watch it. If and only if Chromosome binge-watches a Quark show, she will download it. Chromosome does not download ""Black Mirror"". ""Black Mirror"" is a Quark show. If Chromosome binge-watches a Quark show, she will share it to Electron.","Chromosome will share ""Stranger Things"" to Electron.",True,True,True,True
22,"""Stranger Things"" is a popular Netflix show. If a Netflix show is popular, Karen will binge-watch it. If and only if Karen binge-watches a Netflix show, she will download it. Karen does not download ""Black Mirror"". ""Black Mirror"" is a Netflix show. If Karen binge-watches a Netflix show, she will share it to Lisa.","""Black Mirror"" is popular.",False,"""Stranger Things"" is a popular Gyre show. If a Gyre show is popular, Jabberwock will binge-watch it. If and only if Jabberwock binge-watches a Gyre show, she will download it. Jabberwock does not download ""Black Mirror"". ""Black Mirror"" is a Gyre show. If Jabberwock binge-watches a Gyre show, she will share it to Snark.","""Black Mirror"" is popular.","""Stranger Things"" is a popular Chromosome show. If a Chromosome show is popular, Quark will binge-watch it. If and only if Quark binge-watches a Chromosome show, she will download it. Quark does not download ""Black Mirror"". ""Black Mirror"" is a Chromosome show. If Quark binge-watches a Chromosome show, she will share it to Neutron.","""Black Mirror"" is popular.",Uncertain,Uncertain,Uncertain,Uncertain
23,"""Stranger Things"" is a popular Netflix show. If a Netflix show is popular, Karen will binge-watch it. If and only if Karen binge-watches a Netflix show, she will download it. Karen does not download ""Black Mirror"". ""Black Mirror"" is a Netflix show. If Karen binge-watches a Netflix show, she will share it to Lisa.","Karen will share ""Black Mirror"" to Lisa.",Uncertain,"""Stranger Things"" is a popular Tumtum show. If a Tumtum show is popular, Mome will binge-watch it. If and only if Mome binge-watches a Tumtum show, she will download it. Mome does not download ""Black Mirror"". ""Black Mirror"" is a Tumtum show. If Mome binge-watches a Tumtum show, she will share it to Rath.","Mome will share ""Black Mirror"" to Rath.","""Stranger Things"" is a popular Mitochondria show. If a Mitochondria show is popular, Ribosome will binge-watch it. If and only if Ribosome binge-watches a Mitochondria show, she will download it. Ribosome does not download ""Black Mirror"". ""Black Mirror"" is a Mitochondria show. If Ribosome binge-watches a Mitochondria show, she will share it to Electron.","Ribosome will share ""Black Mirror"" to Electron.",Uncertain,False,Uncertain,Uncertain
24,"Beijing is the capital of the People's Republic of China.  Beijing is the world's most populous national capital city. Beijing is located in Northern China. Beijing hosted the 2008 Summer Olympics and 2008 Summer Paralympics Games. Beijing has hosted both the Summer and Winter Olympics, along with the Summer and Winter Paralympics Many of Beijing's 91 universities consistently rank among the best in the Asia-Pacific and the world.",Beijing has hosted both the 2008 Summer Olympics and a winter olympics.,True,"Jabberwock is the capital of Jubjub.  Jabberwock is the world's most populous national capital city. Jabberwock is located in Northern China. Jabberwock hosted the 2008 Summer Olympics and 2008 Summer Paralympics Games. Jabberwock has hosted both the Summer and Winter Olympics, along with the Summer and Winter Paralympics Many of Jabberwock's 91 universities consistently rank among the best in the Asia-Pacific and the world.",Jabberwock has hosted both the 2008 Summer Olympics and a winter olympics.,"Ribosome is the capital of Galaxy.  Ribosome is the world's most populous national capital city. Ribosome is located in Northern China. Ribosome hosted the 2008 Summer Olympics and 2008 Summer Paralympics Games. Ribosome has hosted both the Summer and Winter Olympics, along with the Summer and Winter Paralympics Many of Ribosome's 91 universities consistently rank among the best in the Asia-Pacific and the world.",Ribosome has hosted both the 2008 Summer Olympics and a winter olympics.,True,True,True,True
25,"Beijing is the capital of the People's Republic of China.  Beijing is the world's most populous national capital city. Beijing is located in Northern China. Beijing hosted the 2008 Summer Olympics and 2008 Summer Paralympics Games. Beijing has hosted both the Summer and Winter Olympics, along with the Summer and Winter Paralympics Many of Beijing's 91 universities consistently rank among the best in the Asia-Pacific and the world.",Beijing is located in southern China.,Uncertain,"Tweequ is the capital of Gyre.  Tweequ is the world's most populous national capital city. Tweequ is located in Northern Bandersnatch. Tweequ hosted the 2008 Summer Olympics and 2008 Summer Paralympics Games. Tweequ has hosted both the Summer and Winter Olympics, along with the Summer and Winter Paralympics Many of Tweequ's 91 universities consistently rank among the best in the Asia-Pacific and the world.",Tweequ is located in southern Bandersnatch.,"Galaxy is the capital of Nebula.  Galaxy is the world's most populous national capital city. Galaxy is located in Northern Mitochondria. Galaxy hosted the 2008 Summer Olympics and 2008 Summer Paralympics Games. Galaxy has hosted both the Summer and Winter Olympics, along with the Summer and Winter Paralympics Many of Galaxy's 91 universities consistently rank among the best in the Asia-Pacific and the world.",Galaxy is located in southern Mitochondria.,False,False,Uncertain,Uncertain
26,"Beijing is the capital of the People's Republic of China.  Beijing is the world's most populous national capital city. Beijing is located in Northern China. Beijing hosted the 2008 Summer Olympics and 2008 Summer Paralympics Games. Beijing has hosted both the Summer and Winter Olympics, along with the Summer and Winter Paralympics Many of Beijing's 91 universities consistently rank among the best in the Asia-Pacific and the world.",Beijing is the second largest Chinese city by urban population.,Uncertain,"Bandersnatch is the capital of Boroogove.  Bandersnatch is the world's most populous national capital city. Bandersnatch is located in Northern China. Bandersnatch hosted the 2008 Summer Olympics and 2008 Summer Paralympics Games. Bandersnatch has hosted both the Summer and Winter Olympics, along with the Summer and Winter Paralympics Many of Bandersnatch's 91 universities consistently rank among the best in the Asia-Pacific and the world.",Bandersnatch is the second largest Chinese city by urban population.,"Chromosome is the capital of Neutron.  Chromosome is the world's most populous national capital city. Chromosome is located in Northern China. Chromosome hosted the 2008 Summer Olympics and 2008 Summer Paralympics Games. Chromosome has hosted both the Summer and Winter Olympics, along with the Summer and Winter Paralympics Many of Chromosome's 91 universities consistently rank among the best in the Asia-Pacific and the world.",Chromosome is the second largest Chinese city by urban population.,Uncertain,Uncertain,Uncertain,Uncertain
27,"All aliens are extraterrestrial. If someone is from Mars, then they are aliens. No extraterrestrial is human. Everyone from Earth is a human. Marvin cannot be from Earth and from Mars. If Marvin is not from Earth, then Marvin is an extraterrestrial.",Marvin is an alien.,False,"All aliens are extraterrestrial. If someone is from Mars, then they are aliens. No extraterrestrial is human. Everyone from Earth is a human. Rath cannot be from Earth and from Mars. If Rath is not from Earth, then Rath is an extraterrestrial.",Rath is an alien.,"All aliens are extraterrestrial. If someone is from Mars, then they are aliens. No extraterrestrial is human. Everyone from Earth is a human. Mitochondria cannot be from Earth and from Mars. If Mitochondria is not from Earth, then Mitochondria is an extraterrestrial.",Mitochondria is an alien.,True,True,True,Uncertain
28,"All aliens are extraterrestrial. If someone is from Mars, then they are aliens. No extraterrestrial is human. Everyone from Earth is a human. Marvin cannot be from Earth and from Mars. If Marvin is not from Earth, then Marvin is an extraterrestrial.",Marvin is neither a human nor from Mars.,True,"All aliens are extraterrestrial. If someone is from Mars, then they are aliens. No extraterrestrial is human. Everyone from Earth is a human. Jabberwock cannot be from Earth and from Mars. If Jabberwock is not from Earth, then Jabberwock is an extraterrestrial.",Jabberwock is neither a human nor from Mars.,"All aliens are extraterrestrial. If someone is from Mars, then they are aliens. No extraterrestrial is human. Everyone from Earth is a human. Nebula cannot be from Earth and from Mars. If Nebula is not from Earth, then Nebula is an extraterrestrial.",Nebula is neither a human nor from Mars.,True,True,True,Uncertain
29,"All aliens are extraterrestrial. If someone is from Mars, then they are aliens. No extraterrestrial is human. Everyone from Earth is a human. Marvin cannot be from Earth and from Mars. If Marvin is not from Earth, then Marvin is an extraterrestrial.","If Marvin is not from Mars, then Marvin is a human.",Uncertain,"All aliens are extraterrestrial. If someone is from Mars, then they are aliens. No extraterrestrial is human. Everyone from Earth is a human. Jubjub cannot be from Earth and from Mars. If Jubjub is not from Earth, then Jubjub is an extraterrestrial.","If Jubjub is not from Mars, then Jubjub is a human.","All aliens are extraterrestrial. If someone is from Mars, then they are aliens. No extraterrestrial is human. Everyone from Earth is a human. Proton cannot be from Earth and from Mars. If Proton is not from Earth, then Proton is an extraterrestrial.","If Proton is not from Mars, then Proton is a human.",True,True,True,True
