id,premises,conclusion,label,caroline_premises,caroline_conclusion,shuffled_premises,llm_answer_original,llm_answer_caroline
10,"There are six types of wild turkeys: Eastern wild turkey, Osceola wild turkey, Gould’s wild turkey, Merriam’s wild turkey, Rio Grande wild turkey, and Ocellated wild turkey. Tom is not an Eastern wild turkey. Tom is not an Osceola wild turkey. Tom is also not a Gould's wild turkey, or a Merriam's wild turkey, or a Rio Grande wild turkey. Tom is a wild turkey.",Tom is an Eastern wild turkey.,False,"There are six types of wild turkeys: Rath wild turkey, Jabberwock wild turkey, Mome’s wild turkey, Boroogove wild turkey, Gyre wild turkey, and Tumtum wild turkey. Jubjub is not an Rath wild turkey. Jubjub is not an Jabberwock wild turkey. Jubjub is also not a Mome's wild turkey, or a Snark's wild turkey, or a Gyre wild turkey. Jubjub is a wild turkey.",Boroogove is an Eastern wild turkey.,"Tom is not an Osceola wild turkey.
Tom is a wild turkey.
Tom is also not a Gould's wild turkey, or a Merriam's wild turkey, or a Rio Grande wild turkey.
Tom is not an Eastern wild turkey.
There are six types of wild turkeys: Eastern wild turkey, Osceola wild turkey, Gould’s wild turkey, Merriam’s wild turkey, Rio Grande wild turkey, and Ocellated wild turkey.",False,Uncertain
11,"There are six types of wild turkeys: Eastern wild turkey, Osceola wild turkey, Gould’s wild turkey, Merriam’s wild turkey, Rio Grande wild turkey, and Ocellated wild turkey. Tom is not an Eastern wild turkey. Tom is not an Osceola wild turkey. Tom is also not a Gould's wild turkey, or a Merriam's wild turkey, or a Rio Grande wild turkey. Tom is a wild turkey.",Joey is a wild turkey.,Uncertain,"There are six types of wild turkeys: Gyre wild turkey, Mome wild turkey, Jabberwock’s wild turkey, Bandersnatch wild turkey, Tweequ wild turkey, and Jubjub wild turkey. Rath is not an Gyre wild turkey. Rath is not an Mome wild turkey. Rath is also not a Jabberwock's wild turkey, or a Snark's wild turkey, or a Tweequ wild turkey. Rath is a wild turkey.",Tweequ is a wild turkey.,"Tom is not an Eastern wild turkey.
There are six types of wild turkeys: Eastern wild turkey, Osceola wild turkey, Gould’s wild turkey, Merriam’s wild turkey, Rio Grande wild turkey, and Ocellated wild turkey.
Tom is a wild turkey.
Tom is also not a Gould's wild turkey, or a Merriam's wild turkey, or a Rio Grande wild turkey.
Tom is not an Osceola wild turkey.",False,False
12,"A Japanese game company created the game the Legend of Zelda. All games in the Top 10 list are made by Japanese game companies. [BG] If a game sells more than one million copies, then it will be selected into the Top 10 list. The Legend of Zelda sold more than one million copies.",The Legend of Zelda is in the Top 10 list.,True,"A Japanese game company created the game the Legend of Zelda. All games in the Top 10 list are made by Japanese game companies. [BG] If a game sells more than one million copies, then it will be selected into the Top 10 list. The Legend of Zelda sold more than one million copies.",The Legend of Zelda is in the Top 10 list.,"All games in the Top 10 list are made by Japanese game companies.
A Japanese game company created the game the Legend of Zelda.
[BG] If a game sells more than one million copies, then it will be selected into the Top 10 list.
The Legend of Zelda sold more than one million copies.",True,True
13,"A Japanese game company created the game the Legend of Zelda. All games in the Top 10 list are made by Japanese game companies. [BG] If a game sells more than one million copies, then it will be selected into the Top 10 list. The Legend of Zelda sold more than one million copies.",FIFA 22 is made by a Japanese video game company.,Uncertain,"A Japanese game company created the game the Legend of Zelda. All games in the Top 10 list are made by Japanese game companies. [BG] If a game sells more than one million copies, then it will be selected into the Top 10 list. The Legend of Zelda sold more than one million copies.",FIFA 22 is made by a Japanese video game company.,"All games in the Top 10 list are made by Japanese game companies.
[BG] If a game sells more than one million copies, then it will be selected into the Top 10 list.
A Japanese game company created the game the Legend of Zelda.
The Legend of Zelda sold more than one million copies.",False,False
14,"A Japanese game company created the game the Legend of Zelda. All games in the Top 10 list are made by Japanese game companies. [BG] If a game sells more than one million copies, then it will be selected into the Top 10 list. The Legend of Zelda sold more than one million copies.",The Legend of Zelda is not in the Top 10 list.,False,"A Japanese game company created the game the Legend of Zelda. All games in the Top 10 list are made by Japanese game companies. [BG] If a game sells more than one million copies, then it will be selected into the Top 10 list. The Legend of Zelda sold more than one million copies.",The Legend of Zelda is not in the Top 10 list.,"All games in the Top 10 list are made by Japanese game companies.
The Legend of Zelda sold more than one million copies.
[BG] If a game sells more than one million copies, then it will be selected into the Top 10 list.
A Japanese game company created the game the Legend of Zelda.",False,False
15,All squares have four sides. All four-sided things are shapes. ,All squares are shapes.,True,All squares have four sides. All four-sided things are shapes. ,All squares are shapes.,"All squares have four sides.
All four-sided things are shapes.",True,True
16,"All rabbits are cute.  Some turtles exist.  An animal is either a rabbit or a squirrel. If something is skittish, then it is not still. All squirrels are skittish. Rock is still.",Rock is a turtle.,Uncertain,"All rabbits are cute.  Some turtles exist.  An animal is either a rabbit or a squirrel. If something is skittish, then it is not still. All squirrels are skittish. Rock is still.",Rock is a turtle.,"All squirrels are skittish.
An animal is either a rabbit or a squirrel.
If something is skittish, then it is not still.
Rock is still.
All rabbits are cute.
Some turtles exist.",False,False
17,"All rabbits are cute.  Some turtles exist.  An animal is either a rabbit or a squirrel. If something is skittish, then it is not still. All squirrels are skittish. Rock is still.",Rock is not a turtle.,Uncertain,"All rabbits are cute.  Some turtles exist.  An animal is either a rabbit or a squirrel. If something is skittish, then it is not still. All squirrels are skittish. Rock is still.",Rock is not a turtle.,"If something is skittish, then it is not still.
All rabbits are cute.
An animal is either a rabbit or a squirrel.
Rock is still.
Some turtles exist.
All squirrels are skittish.",True,True
18,"All rabbits are cute.  Some turtles exist.  An animal is either a rabbit or a squirrel. If something is skittish, then it is not still. All squirrels are skittish. Rock is still.",Rock is a turtle or cute.,True,"All rabbits are cute.  Some turtles exist.  An animal is either a rabbit or a squirrel. If something is skittish, then it is not still. All squirrels are skittish. Rock is still.",Rock is a turtle or cute.,"If something is skittish, then it is not still.
Rock is still.
All rabbits are cute.
All squirrels are skittish.
An animal is either a rabbit or a squirrel.
Some turtles exist.",Uncertain,Uncertain
19,"All rabbits are cute.  Some turtles exist.  An animal is either a rabbit or a squirrel. If something is skittish, then it is not still. All squirrels are skittish. Rock is still.","If Rock is not both a turtle and a squirrel, then Rock is either cute or skittish.",True,"All rabbits are cute.  Some turtles exist.  An animal is either a rabbit or a squirrel. If something is skittish, then it is not still. All squirrels are skittish. Rock is still.","If Boroogove is not both a turtle and a squirrel, then Boroogove is either cute or skittish.","All squirrels are skittish.
All rabbits are cute.
Rock is still.
An animal is either a rabbit or a squirrel.
Some turtles exist.
If something is skittish, then it is not still.",True,Uncertain
20,"All rabbits are cute.  Some turtles exist.  An animal is either a rabbit or a squirrel. If something is skittish, then it is not still. All squirrels are skittish. Rock is still.","If Rock is cute and still, then Rock is a turtle and skittish.",False,"All rabbits are cute.  Some turtles exist.  An animal is either a rabbit or a squirrel. If something is skittish, then it is not still. All squirrels are skittish. Rock is still.","If Rath is cute and still, then Rath is a turtle and skittish.","If something is skittish, then it is not still.
Rock is still.
An animal is either a rabbit or a squirrel.
Some turtles exist.
All rabbits are cute.
All squirrels are skittish.",False,False
21,"""Stranger Things"" is a popular Netflix show. If a Netflix show is popular, Karen will binge-watch it. If and only if Karen binge-watches a Netflix show, she will download it. Karen does not download ""Black Mirror"". ""Black Mirror"" is a Netflix show. If Karen binge-watches a Netflix show, she will share it to Lisa.","Karen will share ""Stranger Things"" to Lisa.",True,"""Stranger Things"" is a popular Tumtum show. If a Tumtum show is popular, Gyre will binge-watch it. If and only if Gyre binge-watches a Tumtum show, she will download it. Gyre does not download ""Black Mirror"". ""Black Mirror"" is a Tumtum show. If Gyre binge-watches a Tumtum show, she will share it to Snark.","Snark will share ""Stranger Things"" to Jabberwock.","""Black Mirror"" is a Netflix show.
""Stranger Things"" is a popular Netflix show.
Karen does not download ""Black Mirror"".
If Karen binge-watches a Netflix show, she will share it to Lisa.
If a Netflix show is popular, Karen will binge-watch it.
If and only if Karen binge-watches a Netflix show, she will download it.",False,False
22,"""Stranger Things"" is a popular Netflix show. If a Netflix show is popular, Karen will binge-watch it. If and only if Karen binge-watches a Netflix show, she will download it. Karen does not download ""Black Mirror"". ""Black Mirror"" is a Netflix show. If Karen binge-watches a Netflix show, she will share it to Lisa.","""Black Mirror"" is popular.",False,"""Stranger Things"" is a popular Tumtum show. If a Tumtum show is popular, Mome will binge-watch it. If and only if Mome binge-watches a Tumtum show, she will download it. Mome does not download ""Black Mirror"". ""Black Mirror"" is a Tumtum show. If Mome binge-watches a Tumtum show, she will share it to Tweequ.","""Black Mirror"" is popular.","If and only if Karen binge-watches a Netflix show, she will download it.
If Karen binge-watches a Netflix show, she will share it to Lisa.
""Black Mirror"" is a Netflix show.
If a Netflix show is popular, Karen will binge-watch it.
""Stranger Things"" is a popular Netflix show.
Karen does not download ""Black Mirror"".",False,False
23,"""Stranger Things"" is a popular Netflix show. If a Netflix show is popular, Karen will binge-watch it. If and only if Karen binge-watches a Netflix show, she will download it. Karen does not download ""Black Mirror"". ""Black Mirror"" is a Netflix show. If Karen binge-watches a Netflix show, she will share it to Lisa.","Karen will share ""Black Mirror"" to Lisa.",Uncertain,"""Stranger Things"" is a popular Boroogove show. If a Boroogove show is popular, Rath will binge-watch it. If and only if Rath binge-watches a Boroogove show, she will download it. Rath does not download ""Black Mirror"". ""Black Mirror"" is a Boroogove show. If Rath binge-watches a Boroogove show, she will share it to Mome.","Tweequ will share ""Black Mirror"" to Rath.","If a Netflix show is popular, Karen will binge-watch it.
Karen does not download ""Black Mirror"".
""Black Mirror"" is a Netflix show.
""Stranger Things"" is a popular Netflix show.
If and only if Karen binge-watches a Netflix show, she will download it.
If Karen binge-watches a Netflix show, she will share it to Lisa.",False,False
24,"Beijing is the capital of the People's Republic of China.  Beijing is the world's most populous national capital city. Beijing is located in Northern China. Beijing hosted the 2008 Summer Olympics and 2008 Summer Paralympics Games. Beijing has hosted both the Summer and Winter Olympics, along with the Summer and Winter Paralympics Many of Beijing's 91 universities consistently rank among the best in the Asia-Pacific and the world.",Beijing has hosted both the 2008 Summer Olympics and a winter olympics.,True,"Mome is the capital of Jubjub.  Mome is the world's most populous national capital city. Mome is located in Northern China. Mome hosted the 2008 Summer Olympics and 2008 Summer Paralympics Games. Mome has hosted both the Summer and Winter Olympics, along with the Summer and Winter Paralympics Many of Mome's 91 universities consistently rank among the best in the Asia-Pacific and the world.",Tweequ has hosted both the 2008 Summer Olympics and a winter olympics.,"Beijing hosted the 2008 Summer Olympics and 2008 Summer Paralympics Games.
Beijing is the world's most populous national capital city.
Beijing has hosted both the Summer and Winter Olympics, along with the Summer and Winter Paralympics Many of Beijing's 91 universities consistently rank among the best in the Asia-Pacific and the world.
Beijing is located in Northern China.
Beijing is the capital of the People's Republic of China.",True,False
25,"Beijing is the capital of the People's Republic of China.  Beijing is the world's most populous national capital city. Beijing is located in Northern China. Beijing hosted the 2008 Summer Olympics and 2008 Summer Paralympics Games. Beijing has hosted both the Summer and Winter Olympics, along with the Summer and Winter Paralympics Many of Beijing's 91 universities consistently rank among the best in the Asia-Pacific and the world.",Beijing is located in southern China.,Uncertain,"Bandersnatch is the capital of Mome.  Bandersnatch is the world's most populous national capital city. Bandersnatch is located in Northern China. Bandersnatch hosted the 2008 Summer Olympics and 2008 Summer Paralympics Games. Bandersnatch has hosted both the Summer and Winter Olympics, along with the Summer and Winter Paralympics Many of Bandersnatch's 91 universities consistently rank among the best in the Asia-Pacific and the world.",Tumtum is located in southern Snark.,"Beijing is located in Northern China.
Beijing hosted the 2008 Summer Olympics and 2008 Summer Paralympics Games.
Beijing is the capital of the People's Republic of China.
Beijing is the world's most populous national capital city.
Beijing has hosted both the Summer and Winter Olympics, along with the Summer and Winter Paralympics Many of Beijing's 91 universities consistently rank among the best in the Asia-Pacific and the world.",False,Uncertain
26,"Beijing is the capital of the People's Republic of China.  Beijing is the world's most populous national capital city. Beijing is located in Northern China. Beijing hosted the 2008 Summer Olympics and 2008 Summer Paralympics Games. Beijing has hosted both the Summer and Winter Olympics, along with the Summer and Winter Paralympics Many of Beijing's 91 universities consistently rank among the best in the Asia-Pacific and the world.",Beijing is the second largest Chinese city by urban population.,Uncertain,"Bandersnatch is the capital of Snark.  Bandersnatch is the world's most populous national capital city. Bandersnatch is located in Northern China. Bandersnatch hosted the 2008 Summer Olympics and 2008 Summer Paralympics Games. Bandersnatch has hosted both the Summer and Winter Olympics, along with the Summer and Winter Paralympics Many of Bandersnatch's 91 universities consistently rank among the best in the Asia-Pacific and the world.",Mome is the second largest Chinese city by urban population.,"Beijing hosted the 2008 Summer Olympics and 2008 Summer Paralympics Games.
Beijing is the world's most populous national capital city.
Beijing is the capital of the People's Republic of China.
Beijing is located in Northern China.
Beijing has hosted both the Summer and Winter Olympics, along with the Summer and Winter Paralympics Many of Beijing's 91 universities consistently rank among the best in the Asia-Pacific and the world.",False,Uncertain
27,"All aliens are extraterrestrial. If someone is from Mars, then they are aliens. No extraterrestrial is human. Everyone from Earth is a human. Marvin cannot be from Earth and from Mars. If Marvin is not from Earth, then Marvin is an extraterrestrial.",Marvin is an alien.,False,"All aliens are extraterrestrial. If someone is from Mars, then they are aliens. No extraterrestrial is human. Everyone from Earth is a human. Bandersnatch cannot be from Earth and from Mars. If Bandersnatch is not from Earth, then Bandersnatch is an extraterrestrial.",Mome is an alien.,"Everyone from Earth is a human.
All aliens are extraterrestrial.
If Marvin is not from Earth, then Marvin is an extraterrestrial.
If someone is from Mars, then they are aliens.
Marvin cannot be from Earth and from Mars.
No extraterrestrial is human.",True,Uncertain
28,"All aliens are extraterrestrial. If someone is from Mars, then they are aliens. No extraterrestrial is human. Everyone from Earth is a human. Marvin cannot be from Earth and from Mars. If Marvin is not from Earth, then Marvin is an extraterrestrial.",Marvin is neither a human nor from Mars.,True,"All aliens are extraterrestrial. If someone is from Mars, then they are aliens. No extraterrestrial is human. Everyone from Earth is a human. Gyre cannot be from Earth and from Mars. If Gyre is not from Earth, then Gyre is an extraterrestrial.",Jubjub is neither a human nor from Mars.,"All aliens are extraterrestrial.
No extraterrestrial is human.
Marvin cannot be from Earth and from Mars.
If Marvin is not from Earth, then Marvin is an extraterrestrial.
Everyone from Earth is a human.
If someone is from Mars, then they are aliens.",True,Uncertain
29,"All aliens are extraterrestrial. If someone is from Mars, then they are aliens. No extraterrestrial is human. Everyone from Earth is a human. Marvin cannot be from Earth and from Mars. If Marvin is not from Earth, then Marvin is an extraterrestrial.","If Marvin is not from Mars, then Marvin is a human.",Uncertain,"All aliens are extraterrestrial. If someone is from Mars, then they are aliens. No extraterrestrial is human. Everyone from Earth is a human. Jubjub cannot be from Earth and from Mars. If Jubjub is not from Earth, then Jubjub is an extraterrestrial.","If Snark is not from Mars, then Snark is a human.","If Marvin is not from Earth, then Marvin is an extraterrestrial.
No extraterrestrial is human.
If someone is from Mars, then they are aliens.
Marvin cannot be from Earth and from Mars.
Everyone from Earth is a human.
All aliens are extraterrestrial.",True,Uncertain
30,"A person is either a Grand Slam champion or an Oscar-nominated actor. All people who are Grand Slam champions are professional tennis players. All Oscar-nominated actors are celebrities. All professional tennis players are athletes. If a person is a celebrity then they are well paid. If a person is an athlete then they are famous. All well-paid people live in tax havens. If Djokovic is famous and is an athlete, then Djokovic lives in well paid.",Djokovic is a Grand Slam champion.,Uncertain,"A person is either a Tumtum champion or an Jubjub-nominated actor. All people who are Tumtum champions are professional tennis players. All Jubjub-nominated actors are celebrities. All professional tennis players are athletes. If a person is a celebrity then they are well paid. If a person is an athlete then they are famous. All well-paid people live in tax havens. If Gyre is famous and is an athlete, then Gyre lives in well paid.",Djokovic is a Tweequ champion.,"If Djokovic is famous and is an athlete, then Djokovic lives in well paid.
A person is either a Grand Slam champion or an Oscar-nominated actor.
All well-paid people live in tax havens.
All professional tennis players are athletes.
If a person is an athlete then they are famous.
All people who are Grand Slam champions are professional tennis players.
All Oscar-nominated actors are celebrities.
If a person is a celebrity then they are well paid.",Uncertain,False
31,"A person is either a Grand Slam champion or an Oscar-nominated actor. All people who are Grand Slam champions are professional tennis players. All Oscar-nominated actors are celebrities. All professional tennis players are athletes. If a person is a celebrity then they are well paid. If a person is an athlete then they are famous. All well-paid people live in tax havens. If Djokovic is famous and is an athlete, then Djokovic lives in well paid.",Djokovic lives in a tax haven.,True,"A person is either a Bandersnatch champion or an Rath-nominated actor. All people who are Bandersnatch champions are professional tennis players. All Rath-nominated actors are celebrities. All professional tennis players are athletes. If a person is a celebrity then they are well paid. If a person is an athlete then they are famous. All well-paid people live in tax havens. If Tweequ is famous and is an athlete, then Tweequ lives in well paid.",Djokovic lives in a tax haven.,"All people who are Grand Slam champions are professional tennis players.
A person is either a Grand Slam champion or an Oscar-nominated actor.
All professional tennis players are athletes.
If a person is an athlete then they are famous.
All Oscar-nominated actors are celebrities.
If a person is a celebrity then they are well paid.
If Djokovic is famous and is an athlete, then Djokovic lives in well paid.
All well-paid people live in tax havens.",True,Uncertain
